"","crime_day","temp","wdsp","NUM_CRIMES"
"339",7,34.6,15,0.128272251308901
"340",1,34.7,15.5,0.426701570680628
"341",2,35.5,17.6,0.277486910994764
"342",3,32.3,17.5,0.471204188481675
"343",4,29,12.5,0.240837696335079
"344",5,29.7,12.6,0.476439790575916
"345",6,39.8,11.7,0.581151832460733
"346",7,47.8,13.2,0.442408376963351
"347",1,43,15.6,0.479057591623037
"348",2,41,12.2,0.301047120418848
"349",3,28.4,16,0.49738219895288
"350",4,25,7.4,0.316753926701571
"351",5,29.6,6.9,0.583769633507853
"352",6,31.9,7.6,0.507853403141361
"353",7,33.3,14,0.274869109947644
"354",1,34.2,16.2,0.267015706806283
"355",2,42.6,16.5,0.335078534031414
"356",3,40,8,0.0575916230366492
"358",5,41.2,20.3,0.212041884816754
"359",6,44.6,20.3,0.447643979057592
"360",7,30.4,11.8,0.225130890052356
"361",1,30.6,11.6,0.345549738219895
"362",2,20.1,14.3,0.0654450261780105
"363",3,12.1,18.4,0.102094240837696
"364",2,38,18.4,0.380462724935733
"365",3,33.9,13.1,0.434447300771208
"366",4,34,12.9,0.475578406169666
"367",5,33.3,10.5,0.447300771208226
"368",6,33.9,12.4,0.336760925449871
"369",7,33.9,12.2,0.352185089974293
"370",1,34.8,12.5,0.388174807197943
"371",2,36.4,22.1,0.102827763496144
"372",3,34.9,21.1,0.447300771208226
"373",4,33.7,17.7,0.341902313624679
"374",5,35,21.9,0.120822622107969
"375",6,28.8,24.4,0.0848329048843188
"379",3,9.4,20.8,0.154241645244216
"380",4,21.2,9.5,0.226221079691517
"381",5,14.8,19.8,0.190231362467866
"382",6,12.8,18.9,0.131105398457584
"383",7,14.2,14.8,0.089974293059126
"384",1,26.4,24.8,0.241645244215938
"385",2,33.6,10.6,0.341902313624679
"386",3,35.3,5.1,0.313624678663239
"387",4,35.6,9.9,0.501285347043702
"388",5,35.7,12.9,0.532133676092545
"389",6,36.3,8.7,0.431876606683805
"390",7,35.1,19.6,0.526992287917738
"391",1,34.1,12.4,0.455012853470437
"392",2,36.7,15.6,0.565552699228792
"393",3,37.7,12.9,0.506426735218509
"394",4,39.9,15.2,0.712082262210797
"395",5,36.6,13.1,0.480719794344473
"396",6,33.7,10.1,0.380462724935733
"397",7,35.9,9.9,0.447300771208226
"398",1,35.3,14,0.557840616966581
"399",2,34.6,9.5,0.491002570694087
"400",3,37.3,10.7,0.552699228791774
"401",4,46.6,22,0.519280205655527
"402",5,51.3,23.9,0.611825192802057
"403",6,39.1,12.2,0.519280205655527
"404",7,34,8.4,0.3573264781491
"405",1,35,7.3,0.411311053984576
"406",2,36.5,12.1,0.377892030848329
"407",3,35.5,8.9,0.465295629820051
"408",4,39.8,20,0.388174807197943
"409",5,30.9,14.2,0.508997429305913
"410",6,21.6,20.4,0.380462724935733
"411",7,30.6,22.4,0.447300771208226
"412",1,36.6,8.1,0.426735218508997
"413",2,40.9,13.8,0.416452442159383
"414",3,51.5,20.3,0.44987146529563
"415",4,45.4,8.4,0.452442159383033
"416",5,44.5,13.5,0.349614395886889
"417",6,26.9,17.9,0.370179948586118
"418",7,40,21.5,0.501285347043702
"419",1,50,10.7,0.44987146529563
"420",2,59.8,25.5,0.508997429305913
"421",3,38.6,23.1,0.408740359897172
"422",4,28.9,15.4,0.524421593830334
"423",5,39.1,18.9,0.784061696658098
"424",6,42.7,13.6,0.3573264781491
"425",7,48.2,22,0.434447300771208
"426",1,58.4,20,0.534704370179949
"427",2,44.6,21,0.501285347043702
"428",3,38.9,20,0.388174807197943
"429",4,38.8,11.7,0.406169665809769
"430",5,40.6,12.7,0.352185089974293
"431",6,40.1,19.2,0.359897172236504
"432",7,35.6,21.2,0.305912596401028
"433",1,45.9,16.8,0.434447300771208
"434",2,60.2,24.5,0.580976863753213
"435",3,53.8,13.2,0.488431876606684
"436",4,45.2,12.6,0.354755784061697
"437",5,38.9,20.3,0.372750642673522
"438",6,46.6,20.3,0.712082262210797
"439",7,39.5,19.8,0.413881748071979
"440",1,30.2,16.5,0.359897172236504
"441",2,38.7,22.5,0.377892030848329
"442",3,38.9,17,0.547557840616967
"443",4,32.2,7,0.447300771208226
"444",5,34.4,15.9,0.383033419023136
"445",6,34.3,20,0.303341902313625
"446",7,36,15.7,0.539845758354756
"447",1,47.9,19.5,0.393316195372751
"448",2,51,22.9,0.408740359897172
"449",3,31.9,24.9,0.473007712082262
"450",1,42.4,16.5,0.598971722365039
"451",2,45.5,23.2,0.231362467866324
