"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","NUM_CRIMES"
"125",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,60.4,9.9,0.709424083769634
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,62,11.7,0.518324607329843
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,67.2,16.6,0.698952879581152
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,64,15.9,0.698952879581152
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,50.8,13,0.641361256544503
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,43.3,22.2,0.541884816753927
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,39.2,10.6,0.777486910994764
"132",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,46,8.7,0.678010471204188
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,56.8,13.3,0.819371727748691
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,58.3,14.3,0.630890052356021
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,66.3,16.3,0.573298429319372
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,63,9.1,0.753926701570681
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,56.2,8.9,0.636125654450262
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,51,5.1,0.683246073298429
"139",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,51.4,5.3,0.557591623036649
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,56.9,4.5,0.730366492146597
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,69,11,0.609947643979058
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,72,10.7,0.573298429319372
"143",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,53.6,11.4,0.667539267015707
"144",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,51.4,11.5,0.604712041884817
"145",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,53.2,7.2,0.738219895287958
"146",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,57.8,6.9,0.793193717277487
"147",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,73.6,23,0.866492146596859
"148",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,71.2,14.4,0.924083769633508
"149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,60.3,10.8,0.602094240837696
"150",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,55.3,8,0.670157068062827
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,59.2,3.9,0.819371727748691
"152",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,66.1,8.6,0.848167539267016
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,56.3,21.4,0.594240837696335
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,53.6,11.3,0.727748691099476
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,53.8,11.1,0.335078534031414
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,55.8,14.5,0.599476439790576
"157",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,58.5,7,0.722513089005236
"158",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,62.8,11.5,0.780104712041885
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,67.5,18.8,0.884816753926702
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,75.2,12.4,0.856020942408377
